DESKTOP /x1k12














                                ÚÄÄÄÄÄÄÄÄ¿
                                ³ Errors ³
                                ÀÄÄÄÄÄÄÄÄÙ

                        Error#  Description
                        ÄÄÄÄÄÄ  ÄÄÄÄÄÄÄÄÄÄÄ
                           1    General error
                           2    Drive not ready
                           3    Unknown command
                           4    CRC error
                           5    Bad request
                           6    Track not found
                           7    Unknown media
                           8    Sector not found
                           9    Paper out
                          10    Write error
                          11    Read error
                          13    Write protected disk
                          14    Disk changed
                          15    Unknown device
                          16    Bad sector
                          17    No disk
                          32    Invalid function
                          33    File not found
                          34    Pathname not found
                          35    No more handle
                          36    Forbidden access
                          37    Invalid handle
                          39    Not enough memory
                          40    Invalid memory block address
                          46    Drive not found
                          48    Rename error
                          49    No more file
                          64    Range error
                          65    Internal error
                          66    Not a program file
                          67    Not a Memo_shrink
