German nodes in THING.HYP:

file           node
---------------------------------------------------------------------
a2-intro.stg   %EinfhrungWIN
a2-intro.stg   "User registration" --> should be replaced with your
                                       details for registration in UK
a3-desk.stg    %DesktopOGRP
a4-appl.stg    %ApplALG
a4-appl.stg    %ApplM
a4-appl.stg    Shells
b1-menu.stg    %ddinf
b1-menu.stg    %dtinf
b1-menu.stg    %dcinf
b1-menu.stg    %ddpinf
b1-menu.stg    %dgrpinf
b1-menu.stg    %ddfinf
b1-menu.stg    %ddflinf
b1-menu.stg    %dfinf
b1-menu.stg    %dflinf
b1-menu.stg    %dgobinf
b1-menu.stg    %mcut
b1-menu.stg    %mcopy
b1-menu.stg    %mpaste
b1-menu.stg    %mstxt
b1-menu.stg    %msort
b1-menu.stg    %mmask
b1-menu.stg    %mfont
b1-menu.stg    %mfontsel
b1-menu.stg    %mappl
b1-menu.stg    %dapinf
b1-menu.stg    %map0
b1-menu.stg    %map1
b1-menu.stg    %map2
b1-menu.stg    %map3
b1-menu.stg    %mfunc
b1-menu.stg    %mconf
b1-menu.stg    %mcf0
b1-menu.stg    %mcf1
b1-menu.stg    %mcf2
b1-menu.stg    %mcf3
b1-menu.stg    %mcf4
b1-menu.stg    %mdrive
b1-menu.stg    %mrez
b1-menu.stg    %meicon
b1-menu.stg    %mlicon
b1-menu.stg    %msconf
b1-menu.stg    %mlconf
b1-menu.stg    %dren
b2-techf.stg   %DateiformateIC
b2-techf.stg   %DateiformateT
b2-techf.stg   %DateiformateDSK
b2-techf.stg   %DateiformateCOL
b2-techf.stg   %DateiformateGRP
b2-techf.stg   %DateiformateRSC
b3-techp.stg   AV_VIEW
b3-techp.stg   VA_VIEWED
b3-techp.stg   AV_FILEINFO
b3-techp.stg   VA_FILECHANGED
b3-techp.stg   AV_COPYFILE
b3-techp.stg   VA_FILECOPIED
b3-techp.stg   AV_DELFILE
b3-techp.stg   VA_FILEDELETED
b3-techp.stg   AV_SETWINDPOS
b3-techp.stg   VA_PATH_UPDATE
b3-techp.stg   "Font Protocol"
b3-techp.stg   FONT_SELECT
b3-techp.stg   FONT_CHANGED
b3-techp.stg   Drag&Drop
b4-teche.stg   %EnvA
b4-teche.stg   AVSERVER
b4-teche.stg   HOME
b4-teche.stg   THINGDIR
b4-teche.stg   LINES
b4-teche.stg   STGUIDE
b4-teche.stg   TOSWIN
b5-hist.stg    all ... but this does not need to be translated!
b6-faq.stg     all ... sorry ...
b7-maus.stg    all
c1-thank.stg   all
