cntcol LDV running on image 1424x1001, 32 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|              503|
|     1|              495|
|     2|              513|
|     3|              514|
|     4|              514|
|     5|              525|
|     6|              546|
|     7|              549|
|     8|              572|
|     9|              549|
|    10|              564|
|    11|              557|
|    12|              555|
|    13|              564|
|    14|              581|
|    15|              581|
|    16|              588|
|    17|              574|
|    18|              577|
|    19|              586|
|    20|              570|
|    21|              572|
|    22|              580|
|    23|              590|
|    24|              594|
|    25|              585|
|    26|              595|
|    27|              594|
|    28|              612|
|    29|              604|
|    30|              614|
|    31|              648|
|    32|              659|
|    33|              647|
|    34|              650|
|    35|              636|
|    36|              640|
|    37|              643|
|    38|              656|
|    39|              654|
|    40|              682|
|    41|              666|
|    42|              692|
|    43|              686|
|    44|              701|
|    45|              710|
|    46|              692|
|    47|              712|
|    48|              727|
|    49|              695|
|    50|              688|
|    51|              698|
|    52|              690|
|    53|              693|
|    54|              716|
|    55|              722|
|    56|              725|
|    57|              705|
|    58|              722|
|    59|              712|
|    60|              708|
|    61|              732|
|    62|              753|
|    63|              753|
|    64|              776|
|    65|              795|
|    66|              789|
|    67|              812|
|    68|              835|
|    69|              850|
|    70|              872|
|    71|              907|
|    72|              942|
|    73|              929|
|    74|              956|
|    75|              945|
|    76|              957|
|    77|              959|
|    78|              983|
|    79|              987|
|    80|              976|
|    81|              986|
|    82|              984|
|    83|              978|
|    84|              996|
|    85|              992|
|    86|              998|
|    87|              986|
|    88|             1004|
|    89|              983|
|    90|              982|
|    91|             1004|
|    92|             1005|
|    93|              999|
|    94|             1026|
|    95|             1003|
|    96|              990|
|    97|             1008|
|    98|              995|
|    99|              983|
|   100|              982|
|   101|              981|
|   102|              972|
|   103|              982|
|   104|              968|
|   105|              969|
|   106|              989|
|   107|              981|
|   108|              982|
|   109|              972|
|   110|              972|
|   111|              971|
|   112|              984|
|   113|              998|
|   114|              993|
|   115|             1016|
|   116|             1011|
|   117|             1020|
|   118|             1026|
|   119|             1009|
|   120|             1006|
|   121|             1037|
|   122|             1035|
|   123|             1028|
|   124|             1058|
|   125|             1054|
|   126|             1058|
|   127|             1047|
|   128|             1058|
|   129|             1059|
|   130|             1083|
|   131|             1075|
|   132|             1065|
|   133|             1089|
|   134|             1087|
|   135|             1072|
|   136|             1076|
|   137|             1083|
|   138|             1056|
|   139|             1093|
|   140|             1074|
|   141|             1081|
|   142|             1086|
|   143|             1081|
|   144|             1087|
|   145|             1086|
|   146|             1077|
|   147|             1095|
|   148|             1114|
|   149|             1118|
|   150|             1112|
|   151|             1115|
|   152|             1135|
|   153|             1120|
|   154|             1131|
|   155|             1117|
|   156|             1114|
|   157|             1125|
|   158|             1101|
|   159|             1096|
|   160|             1116|
|   161|             1090|
|   162|             1120|
|   163|             1104|
|   164|             1104|
|   165|             1091|
|   166|             1110|
|   167|             1091|
|   168|             1101|
|   169|             1088|
|   170|             1103|
|   171|             1106|
|   172|             1098|
|   173|             1114|
|   174|             1131|
|   175|             1118|
|   176|             1111|
|   177|             1106|
|   178|             1113|
|   179|             1107|
|   180|             1088|
|   181|             1088|
|   182|             1077|
|   183|             1077|
|   184|             1083|
|   185|             1050|
|   186|             1047|
|   187|             1054|
|   188|             1072|
|   189|             1075|
|   190|             1065|
|   191|             1083|
|   192|             1068|
|   193|             1040|
|   194|             1053|
|   195|             1048|
|   196|             1052|
|   197|             1053|
|   198|             1046|
|   199|             1029|
|   200|             1041|
|   201|             1007|
|   202|             1031|
|   203|             1020|
|   204|             1015|
|   205|             1032|
|   206|             1037|
|   207|             1044|
|   208|             1044|
|   209|             1036|
|   210|             1042|
|   211|             1069|
|   212|             1045|
|   213|             1042|
|   214|             1024|
|   215|             1024|
|   216|             1010|
|   217|             1022|
|   218|             1012|
|   219|             1032|
|   220|             1023|
|   221|             1007|
|   222|             1014|
|   223|             1015|
|   224|             1004|
|   225|             1012|
|   226|             1004|
|   227|             1011|
|   228|             1022|
|   229|             1008|
|   230|             1003|
|   231|             1011|
|   232|              988|
|   233|             1011|
|   234|             1006|
|   235|              979|
|   236|              977|
|   237|              985|
