cntcol LDV running on image 4096x4096, 8 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|               12|
|     1|               12|
|     2|               12|
|     3|               11|
|     4|               12|
|     5|               12|
|     6|               18|
|     7|               12|
|     8|               12|
|     9|               11|
|    10|               12|
|    11|               12|
|    12|               12|
|    13|               12|
|    14|               12|
|    15|               12|
|    16|               12|
|    17|               12|
|    18|               12|
|    19|               21|
|    20|               12|
|    21|               12|
|    22|               18|
|    23|               12|
|    24|               12|
|    25|               11|
|    26|               12|
|    27|               17|
|    28|               12|
|    29|               12|
|    30|               12|
|    31|               17|
|    32|               12|
|    33|               12|
|    34|               12|
|    35|               21|
|    36|               12|
|    37|               12|
|    38|               18|
|    39|               17|
|    40|               12|
|    41|               11|
|    42|               12|
|    43|               17|
|    44|               12|
|    45|               12|
|    46|               12|
|    47|               17|
|    48|               12|
|    49|               12|
|    50|               12|
|    51|               21|
|    52|               12|
|    53|               12|
|    54|               18|
|    55|               17|
|    56|               12|
|    57|               11|
|    58|               12|
|    59|               17|
|    60|               12|
|    61|               12|
|    62|               12|
|    63|               17|
|    64|               22|
|    65|               12|
|    66|               12|
|    67|               16|
|    68|               12|
|    69|               12|
|    70|               18|
|    71|               17|
|    72|               12|
|    73|               11|
|    74|               12|
|    75|               17|
|    76|               17|
|    77|               12|
|    78|               12|
|    79|               17|
|    80|               22|
|    81|               12|
|    82|               12|
|    83|               16|
|    84|               18|
|    85|               12|
|    86|               18|
|    87|               17|
|    88|               17|
|    89|               11|
|    90|               12|
|    91|               17|
|    92|               17|
|    93|               12|
|    94|               12|
|    95|               17|
|    96|               23|
|    97|               12|
|    98|               12|
|    99|               16|
|   100|               18|
|   101|               12|
|   102|               18|
|   103|               17|
|   104|               18|
|   105|               11|
|   106|               12|
|   107|               17|
|   108|               18|
|   109|               12|
|   110|               12|
|   111|               17|
|   112|               18|
|   113|               12|
|   114|               12|
|   115|               16|
|   116|               18|
|   117|               12|
|   118|               18|
|   119|               17|
|   120|               18|
|   121|               11|
|   122|               12|
|   123|               17|
|   124|               18|
|   125|               12|
|   126|               17|
|   127|               17|
|   128|               18|
|   129|               12|
|   130|               18|
|   131|               16|
|   132|               18|
|   133|               12|
|   134|               29|
|   135|               17|
|   136|               18|
|   137|               11|
|   138|               24|
|   139|               17|
|   140|               18|
|   141|               12|
|   142|               17|
|   143|               17|
|   144|               18|
|   145|               12|
|   146|               18|
|   147|               16|
|   148|               18|
|   149|               12|
|   150|               24|
|   151|               17|
|   152|               18|
|   153|               11|
|   154|               24|
|   155|               17|
|   156|               18|
|   157|               12|
|   158|               18|
|   159|               17|
|   160|               18|
|   161|               12|
|   162|               18|
|   163|               16|
|   164|               18|
|   165|               12|
|   166|               24|
|   167|               17|
|   168|               18|
|   169|               11|
|   170|               24|
|   171|               17|
|   172|               18|
|   173|               12|
|   174|               18|
|   175|               17|
|   176|               18|
|   177|               18|
|   178|               18|
|   179|               16|
|   180|               18|
|   181|               18|
|   182|               24|
|   183|               17|
|   184|               18|
|   185|               17|
|   186|               24|
|   187|               17|
|   188|               18|
|   189|               22|
|   190|               18|
|   191|               17|
|   192|               18|
|   193|               18|
|   194|               18|
|   195|               16|
|   196|               18|
|   197|               18|
|   198|               24|
|   199|               17|
|   200|               18|
|   201|               17|
|   202|               24|
|   203|               17|
|   204|               18|
|   205|               24|
|   206|               18|
|   207|               17|
|   208|               18|
|   209|               18|
|   210|               18|
|   211|               16|
|   212|               18|
|   213|               18|
|   214|               24|
|   215|               17|
|   216|               18|
|   217|               17|
|   218|               24|
|   219|               17|
|   220|               18|
|   221|               24|
|   222|               18|
|   223|               17|
|   224|               18|
|   225|               18|
|   226|               18|
|   227|               16|
|   228|               18|
|   229|               18|
|   230|               24|
|   231|               17|
|   232|               18|
|   233|               17|
|   234|               24|
|   235|               17|
|   236|               18|
|   237|               24|
|   238|               18|
|   239|               17|
|   240|               18|
|   241|               18|
|   242|               18|
|   243|               16|
|   244|               18|
|   245|               18|
|   246|               24|
|   247|               17|
|   248|               18|
|   249|               17|
|   250|               24|
|   251|               17|
|   252|               18|
|   253|               24|
|   254|               18|
|   255|               17|
|   256|               18|
|   257|               18|
|   258|               18|
|   259|               16|
|   260|               18|
|   261|               18|
|   262|               24|
|   263|               17|
|   264|               18|
|   265|               17|
|   266|               24|
|   267|               17|
|   268|               18|
|   269|               18|
|   270|               18|
|   271|               17|
|   272|               18|
|   273|               18|
|   274|               18|
|   275|               16|
|   276|               18|
|   277|               18|
|   278|               24|
|   279|               17|
|   280|               18|
|   281|               17|
|   282|               24|
|   283|               17|
|   284|               18|
|   285|               18|
|   286|               18|
|   287|               17|
|   288|               18|
|   289|               18|
|   290|               18|
|   291|               16|
|   292|               18|
|   293|               18|
|   294|               24|
|   295|               17|
|   296|               18|
|   297|               17|
|   298|               24|
|   299|               17|
|   300|               18|
|   301|               18|
|   302|               18|
|   303|               17|
|   304|               18|
|   305|               18|
|   306|               18|
|   307|               16|
|   308|               18|
|   309|               18|
|   310|               24|
|   311|               17|
|   312|               18|
|   313|               17|
|   314|               24|
|   315|               17|
|   316|               18|
|   317|               18|
|   318|               18|
|   319|               17|
|   320|               18|
|   321|               18|
|   322|               18|
|   323|               16|
|   324|               18|
|   325|               18|
|   326|               24|
|   327|               17|
|   328|               18|
|   329|               17|
|   330|               18|
|   331|               17|
|   332|               18|
|   333|               18|
|   334|               18|
|   335|               17|
|   336|               18|
|   337|               18|
|   338|               18|
|   339|               16|
|   340|               24|
|   341|               18|
|   342|               24|
|   343|               17|
|   344|               18|
|   345|               17|
|   346|               18|
|   347|               17|
|   348|               18|
|   349|               18|
|   350|               18|
|   351|               17|
|   352|               18|
|   353|               18|
|   354|               18|
|   355|               16|
|   356|               24|
|   357|               18|
|   358|               24|
|   359|               17|
|   360|               18|
|   361|               17|
|   362|               18|
|   363|               17|
|   364|               18|
|   365|               18|
|   366|               18|
|   367|               17|
|   368|               18|
|   369|               18|
|   370|               18|
|   371|               16|
|   372|               18|
|   373|               18|
|   374|               24|
|   375|               17|
|   376|               18|
|   377|               17|
|   378|               18|
|   379|               17|
|   380|               18|
|   381|               18|
|   382|               18|
|   383|               17|
|   384|               18|
|   385|               18|
|   386|               18|
|   387|               17|
|   388|               18|
|   389|               18|
|   390|               24|
|   391|               24|
|   392|               18|
|   393|               17|
|   394|               18|
|   395|               24|
|   396|               18|
|   397|               18|
|   398|               18|
|   399|               18|
|   400|               18|
|   401|               18|
|   402|               18|
|   403|               17|
|   404|               18|
|   405|               18|
|   406|               24|
|   407|               18|
|   408|               18|
|   409|               17|
|   410|               18|
|   411|               24|
|   412|               18|
|   413|               18|
|   414|               18|
|   415|               18|
|   416|               18|
|   417|               18|
|   418|               18|
|   419|               17|
|   420|               18|
|   421|               18|
|   422|               24|
|   423|               18|
|   424|               18|
|   425|               17|
|   426|               18|
|   427|               24|
|   428|               18|
|   429|               18|
|   430|               18|
|   431|               18|
|   432|               18|
|   433|               24|
|   434|               18|
|   435|               17|
|   436|               18|
|   437|               18|
|   438|               24|
|   439|               18|
|   440|               18|
|   441|               17|
|   442|               18|
|   443|               24|
|   444|               18|
|   445|               18|
|   446|               18|
|   447|               18|
|   448|               18|
|   449|               24|
|   450|               18|
|   451|               17|
|   452|               18|
|   453|               18|
|   454|               24|
|   455|               18|
|   456|               18|
|   457|               17|
|   458|               18|
|   459|               24|
|   460|               18|
|   461|               18|
|   462|               18|
|   463|               18|
|   464|               18|
|   465|               17|
|   466|               18|
|   467|               17|
|   468|               18|
|   469|               18|
|   470|               24|
|   471|               18|
|   472|               18|
|   473|               17|
|   474|               18|
|   475|               24|
|   476|               18|
|   477|               18|
|   478|               18|
|   479|               18|
|   480|               18|
|   481|               17|
|   482|               18|
|   483|               17|
|   484|               18|
|   485|               17|
|   486|               24|
|   487|               18|
