cntcol LDV running on image 1424x1001, 32 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|                2|
|     1|                2|
|     2|                2|
|     3|                2|
|     4|                2|
|     5|                2|
|     6|                2|
|     7|                2|
|     8|                2|
|     9|                2|
|    10|                2|
|    11|                2|
|    12|              924|
|    13|              944|
|    14|              967|
|    15|              964|
|    16|              965|
|    17|              979|
|    18|              982|
|    19|             1003|
|    20|              991|
|    21|             1013|
|    22|             1010|
|    23|             1018|
|    24|             1010|
|    25|             1000|
|    26|             1010|
|    27|             1001|
|    28|             1011|
|    29|             1013|
|    30|             1006|
|    31|             1035|
|    32|             1028|
|    33|             1042|
|    34|             1022|
|    35|             1029|
|    36|             1029|
|    37|             1020|
|    38|             1026|
|    39|             1043|
|    40|             1028|
|    41|             1035|
|    42|             1032|
|    43|             1058|
|    44|             1066|
|    45|             1070|
|    46|             1063|
|    47|             1097|
|    48|             1072|
|    49|             1103|
|    50|             1124|
|    51|             1113|
|    52|             1082|
|    53|             1112|
|    54|             1126|
|    55|             1111|
|    56|             1103|
|    57|             1114|
|    58|             1113|
|    59|             1144|
|    60|             1131|
|    61|             1145|
|    62|             1155|
|    63|             1141|
|    64|             1141|
|    65|             1147|
|    66|             1138|
|    67|             1143|
|    68|             1149|
|    69|             1134|
|    70|             1132|
|    71|             1143|
|    72|             1138|
|    73|             1157|
|    74|             1135|
|    75|             1143|
|    76|             1124|
|    77|             1135|
|    78|             1129|
|    79|             1139|
|    80|             1125|
|    81|             1119|
|    82|             1121|
|    83|             1103|
|    84|             1131|
|    85|             1130|
|    86|             1107|
|    87|             1131|
|    88|             1121|
|    89|             1136|
|    90|             1133|
|    91|             1124|
|    92|             1128|
|    93|             1127|
|    94|             1133|
|    95|             1130|
|    96|             1138|
|    97|             1137|
|    98|             1128|
|    99|             1110|
|   100|             1103|
|   101|             1112|
|   102|             1101|
|   103|             1086|
|   104|             1074|
|   105|             1073|
|   106|             1085|
|   107|             1079|
|   108|             1064|
|   109|             1073|
|   110|             1069|
|   111|             1065|
|   112|             1087|
|   113|             1074|
|   114|             1086|
|   115|             1098|
|   116|             1055|
|   117|             1068|
|   118|             1073|
|   119|             1079|
|   120|             1081|
|   121|             1071|
|   122|             1069|
|   123|             1092|
|   124|             1075|
|   125|             1079|
|   126|             1073|
|   127|             1074|
|   128|             1093|
|   129|             1064|
|   130|             1065|
|   131|             1060|
|   132|             1049|
|   133|             1032|
|   134|             1033|
|   135|             1023|
|   136|             1027|
|   137|             1002|
|   138|             1035|
|   139|             1033|
|   140|             1031|
|   141|             1046|
|   142|             1041|
|   143|             1049|
|   144|             1038|
|   145|             1045|
|   146|             1058|
|   147|             1048|
|   148|             1031|
|   149|             1065|
|   150|             1038|
|   151|             1043|
|   152|             1024|
|   153|             1046|
|   154|             1037|
|   155|             1024|
|   156|             1048|
|   157|             1026|
|   158|             1019|
|   159|             1042|
|   160|             1014|
|   161|             1042|
|   162|             1012|
|   163|             1014|
|   164|             1027|
|   165|             1036|
|   166|             1033|
|   167|             1056|
|   168|             1042|
|   169|             1035|
|   170|             1037|
|   171|             1044|
|   172|             1044|
|   173|             1048|
|   174|             1021|
|   175|             1033|
|   176|             1031|
|   177|             1035|
|   178|             1041|
|   179|             1016|
|   180|             1032|
|   181|             1059|
|   182|             1039|
|   183|             1070|
|   184|             1069|
|   185|             1094|
|   186|             1085|
|   187|             1092|
|   188|             1091|
|   189|             1092|
|   190|             1093|
|   191|             1071|
|   192|             1077|
|   193|             1066|
|   194|             1088|
|   195|             1072|
|   196|             1061|
|   197|             1050|
|   198|             1047|
|   199|             1056|
|   200|             1072|
|   201|             1072|
|   202|             1085|
|   203|             1098|
|   204|             1071|
|   205|             1062|
|   206|             1054|
|   207|             1075|
|   208|             1060|
|   209|             1053|
|   210|             1067|
|   211|             1084|
|   212|             1087|
|   213|             1089|
|   214|             1075|
|   215|             1094|
|   216|             1063|
|   217|             1083|
|   218|             1070|
|   219|             1091|
|   220|             1097|
|   221|             1101|
|   222|             1085|
|   223|             1106|
|   224|             1103|
|   225|             1097|
|   226|             1104|
|   227|             1112|
|   228|             1093|
|   229|             1128|
|   230|             1121|
|   231|             1126|
|   232|             1128|
|   233|             1106|
|   234|             1119|
|   235|             1094|
|   236|             1128|
|   237|             1111|
|   238|             1099|
|   239|             1101|
