cntcol LDV running on image 800x444, 16 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|               45|
|     1|               44|
|     2|               47|
|     3|               45|
|     4|               42|
|     5|               44|
|     6|               44|
|     7|               45|
|     8|               45|
|     9|               45|
|    10|               46|
|    11|               46|
|    12|               48|
|    13|               47|
|    14|               50|
|    15|               49|
|    16|               50|
|    17|               49|
|    18|               46|
|    19|               49|
|    20|               46|
|    21|               47|
|    22|               52|
|    23|               54|
|    24|               49|
|    25|               52|
|    26|               48|
|    27|               48|
|    28|               48|
|    29|               49|
|    30|               49|
|    31|               49|
|    32|               52|
|    33|               52|
|    34|               50|
|    35|               50|
|    36|               50|
|    37|               49|
|    38|               51|
|    39|               52|
|    40|               50|
|    41|               49|
|    42|               51|
|    43|               52|
|    44|               51|
|    45|               52|
|    46|               52|
|    47|               54|
|    48|               51|
|    49|               53|
|    50|               53|
|    51|               53|
|    52|               57|
|    53|               57|
|    54|               58|
|    55|               57|
|    56|               61|
|    57|               62|
|    58|               58|
|    59|               65|
|    60|               68|
|    61|               65|
|    62|               70|
|    63|               70|
|    64|               72|
|    65|               68|
|    66|               71|
|    67|               72|
|    68|               70|
|    69|               77|
|    70|               77|
|    71|               82|
|    72|               82|
|    73|               84|
|    74|               80|
|    75|               82|
|    76|               90|
|    77|               82|
|    78|               90|
|    79|               93|
|    80|               95|
|    81|               94|
|    82|               97|
|    83|               93|
|    84|              105|
|    85|              117|
|    86|              115|
|    87|              120|
|    88|              129|
|    89|              122|
|    90|              143|
|    91|              144|
|    92|              151|
|    93|              148|
|    94|              159|
|    95|              163|
|    96|              181|
|    97|              171|
|    98|              153|
|    99|              143|
|   100|              144|
|   101|              149|
|   102|              142|
|   103|              147|
|   104|              154|
|   105|              155|
|   106|              164|
|   107|              169|
|   108|              182|
|   109|              176|
|   110|              173|
|   111|              178|
|   112|              182|
|   113|              179|
|   114|              176|
|   115|              173|
|   116|              189|
|   117|              182|
|   118|              187|
|   119|              183|
|   120|              188|
|   121|              205|
|   122|              201|
|   123|              207|
|   124|              190|
|   125|              177|
|   126|              184|
|   127|              182|
|   128|              172|
|   129|              155|
|   130|              156|
|   131|              154|
|   132|              151|
|   133|              155|
|   134|              148|
|   135|              156|
|   136|              153|
|   137|              156|
|   138|              165|
|   139|              158|
|   140|              163|
|   141|              165|
|   142|              184|
|   143|              199|
|   144|              205|
|   145|              208|
|   146|              193|
|   147|              195|
|   148|              184|
|   149|              166|
|   150|              168|
|   151|              148|
|   152|              161|
|   153|              153|
|   154|              169|
|   155|              161|
|   156|              164|
|   157|              149|
|   158|              164|
|   159|              181|
|   160|              213|
|   161|              214|
|   162|              232|
|   163|              219|
|   164|              218|
|   165|              212|
|   166|              220|
|   167|              219|
|   168|              210|
|   169|              220|
|   170|              209|
|   171|              223|
|   172|              224|
|   173|              231|
|   174|              258|
|   175|              266|
|   176|              232|
|   177|              223|
|   178|              181|
|   179|              177|
|   180|              167|
|   181|              153|
|   182|              152|
|   183|              166|
|   184|              164|
|   185|              146|
|   186|              133|
|   187|              148|
|   188|              128|
|   189|              133|
|   190|              130|
|   191|              142|
|   192|              125|
|   193|              113|
|   194|               94|
|   195|               96|
|   196|               98|
|   197|              102|
|   198|               97|
|   199|               92|
|   200|               98|
|   201|               89|
|   202|               89|
|   203|               90|
|   204|               84|
|   205|               88|
|   206|               91|
|   207|               94|
|   208|              105|
|   209|               98|
|   210|               92|
|   211|               92|
|   212|               88|
|   213|               97|
|   214|               94|
|   215|               97|
|   216|               98|
|   217|               97|
|   218|               91|
|   219|               93|
|   220|               91|
|   221|               90|
|   222|               90|
|   223|               99|
|   224|               88|
|   225|               92|
|   226|               93|
|   227|               92|
|   228|               93|
|   229|               97|
|   230|               95|
|   231|               94|
|   232|               98|
|   233|               95|
|   234|               93|
|   235|               89|
|   236|               88|
|   237|               92|
|   238|               88|
|   239|               96|
|   240|               90|
|   241|               92|
|   242|               93|
|   243|               86|
|   244|               91|
|   245|               84|
|   246|               85|
|   247|               87|
|   248|               79|
|   249|               79|
|   250|               82|
|   251|               79|
|   252|               82|
|   253|               76|
|   254|               79|
|   255|               86|
|   256|               83|
|   257|               80|
|   258|               86|
|   259|               85|
|   260|               93|
|   261|               87|
|   262|               90|
|   263|               89|
|   264|               98|
|   265|               95|
|   266|               88|
|   267|               90|
|   268|              100|
|   269|               89|
|   270|               91|
|   271|               91|
|   272|               94|
|   273|               92|
|   274|               88|
|   275|               83|
|   276|               77|
|   277|               79|
|   278|               80|
|   279|               74|
|   280|               76|
|   281|               73|
|   282|               73|
|   283|               82|
|   284|               74|
|   285|               69|
|   286|               81|
|   287|               74|
|   288|               80|
|   289|               75|
|   290|               71|
|   291|               69|
|   292|               66|
|   293|               67|
|   294|               58|
|   295|               67|
|   296|               66|
|   297|               58|
|   298|               63|
|   299|               61|
|   300|               60|
|   301|               58|
|   302|               60|
|   303|               66|
|   304|               65|
|   305|               58|
|   306|               55|
|   307|               60|
|   308|               47|
|   309|               58|
|   310|               53|
|   311|               54|
|   312|               58|
|   313|               54|
|   314|               54|
|   315|               60|
|   316|               56|
|   317|               56|
|   318|               63|
|   319|               61|
|   320|               60|
|   321|               61|
|   322|               56|
|   323|               59|
|   324|               63|
|   325|               55|
|   326|               60|
|   327|               62|
|   328|               61|
|   329|               55|
|   330|               56|
|   331|               56|
|   332|               61|
|   333|               59|
|   334|               64|
|   335|               59|
|   336|               58|
|   337|               59|
|   338|               47|
|   339|               46|
|   340|               48|
|   341|               50|
|   342|               56|
|   343|               57|
|   344|               54|
|   345|               55|
|   346|               52|
|   347|               51|
|   348|               53|
|   349|               45|
|   350|               49|
|   351|               49|
|   352|               40|
|   353|               39|
|   354|               34|
|   355|               27|
|   356|               34|
|   357|               35|
|   358|               34|
|   359|               34|
|   360|               40|
|   361|               35|
|   362|               41|
|   363|               43|
|   364|               45|
|   365|               38|
|   366|               36|
|   367|               39|
|   368|               41|
|   369|               50|
|   370|               40|
|   371|               47|
|   372|               42|
|   373|               43|
|   374|               42|
|   375|               43|
|   376|               38|
|   377|               36|
|   378|               31|
|   379|               31|
|   380|               29|
|   381|               23|
|   382|               29|
|   383|               35|
|   384|               36|
|   385|               30|
|   386|               26|
|   387|               28|
|   388|               31|
|   389|               31|
|   390|               21|
|   391|               22|
|   392|               18|
|   393|               18|
|   394|               18|
|   395|               23|
|   396|               20|
|   397|               16|
|   398|               18|
|   399|               21|
|   400|               18|
|   401|               18|
|   402|               21|
|   403|               21|
|   404|               21|
|   405|               24|
|   406|               21|
|   407|               21|
|   408|               21|
|   409|               23|
|   410|               20|
|   411|               16|
|   412|               15|
|   413|               15|
|   414|               14|
|   415|               12|
|   416|               22|
|   417|               25|
|   418|               24|
|   419|               29|
|   420|               29|
|   421|               22|
|   422|               23|
|   423|               23|
|   424|               21|
|   425|               19|
|   426|               18|
|   427|               21|
|   428|               20|
|   429|               22|
|   430|               21|
|   431|               21|
|   432|               22|
|   433|               22|
|   434|               20|
|   435|               22|
|   436|               22|
|   437|               23|
|   438|               21|
|   439|               22|
|   440|               25|
|   441|               24|
|   442|               22|
|   443|               22|
-------|------------------
|Total |             1400|
-------|------------------
RAM used: 9 KB
Computation time: 40680 ms
