cntcol LDV running on image 3984x1538, 32 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|             2404|
|     1|             2354|
|     2|             2379|
|     3|             2332|
|     4|             2323|
|     5|             2283|
|     6|             2228|
|     7|             2230|
|     8|             2183|
|     9|             2241|
|    10|             2224|
|    11|             2172|
|    12|             2080|
|    13|             2100|
|    14|             2136|
|    15|             2130|
|    16|             2097|
|    17|             2092|
|    18|             2124|
|    19|             2126|
|    20|             2195|
|    21|             2166|
|    22|             2177|
|    23|             2154|
|    24|             2146|
|    25|             2172|
|    26|             2164|
|    27|             2148|
|    28|             2201|
|    29|             2136|
|    30|             2231|
|    31|             2263|
|    32|             2252|
|    33|             2152|
|    34|             2150|
|    35|             2094|
|    36|             2107|
|    37|             2099|
|    38|             2147|
|    39|             2135|
|    40|             2176|
|    41|             2170|
|    42|             2193|
|    43|             2134|
|    44|             2023|
|    45|             2099|
|    46|             2064|
|    47|             2107|
|    48|             2064|
|    49|             2070|
|    50|             2072|
|    51|             2176|
|    52|             2173|
|    53|             2163|
|    54|             2098|
|    55|             2084|
|    56|             2046|
|    57|             1994|
|    58|             2067|
|    59|             2054|
|    60|             2035|
|    61|             2122|
|    62|             2275|
|    63|             2248|
|    64|             2125|
|    65|             2098|
|    66|             2109|
|    67|             2033|
|    68|             2061|
|    69|             2082|
|    70|             2086|
|    71|             2089|
|    72|             2083|
|    73|             2138|
|    74|             2129|
|    75|             2054|
|    76|             1993|
|    77|             1985|
|    78|             1989|
|    79|             1951|
|    80|             1969|
|    81|             2013|
|    82|             2058|
|    83|             2123|
|    84|             2167|
|    85|             2097|
|    86|             2030|
|    87|             2022|
|    88|             2006|
|    89|             2024|
|    90|             2029|
|    91|             2044|
|    92|             2059|
|    93|             2082|
|    94|             2260|
|    95|             2220|
|    96|             2102|
|    97|             2043|
|    98|             2074|
|    99|             2037|
|   100|             2046|
|   101|             2035|
|   102|             2013|
|   103|             2002|
|   104|             2077|
|   105|             2093|
|   106|             2139|
|   107|             1937|
|   108|             1952|
|   109|             1940|
|   110|             1896|
|   111|             1872|
|   112|             1888|
|   113|             1929|
|   114|             2036|
|   115|             2035|
|   116|             2046|
|   117|             2046|
|   118|             1950|
|   119|             1971|
|   120|             1985|
|   121|             2036|
|   122|             2050|
|   123|             2100|
|   124|             2107|
|   125|             2267|
|   126|             2253|
|   127|             2243|
|   128|             2124|
|   129|             2097|
|   130|             2056|
|   131|             2074|
|   132|             2052|
|   133|             2014|
|   134|             2038|
|   135|             2017|
|   136|             2093|
|   137|             2192|
|   138|             2195|
|   139|             2037|
|   140|             2011|
|   141|             2034|
|   142|             2034|
|   143|             1952|
|   144|             1984|
|   145|             1948|
|   146|             2017|
|   147|             2043|
|   148|             1973|
|   149|             1925|
|   150|             1925|
|   151|             1941|
|   152|             1876|
|   153|             1915|
|   154|             1972|
|   155|             1965|
|   156|             1995|
|   157|             2201|
|   158|             2072|
|   159|             1928|
|   160|             1933|
|   161|             1947|
|   162|             1879|
|   163|             1852|
|   164|             1902|
|   165|             1868|
|   166|             1879|
|   167|             1981|
|   168|             2022|
|   169|             2060|
|   170|             1919|
|   171|             1829|
|   172|             1885|
|   173|             1840|
|   174|             1835|
|   175|             1824|
|   176|             1823|
|   177|             1896|
|   178|             1920|
|   179|             1933|
|   180|             1889|
|   181|             1834|
|   182|             1805|
|   183|             1843|
|   184|             1878|
|   185|             1856|
|   186|             1890|
|   187|             1897|
|   188|             1938|
|   189|             2070|
|   190|             2032|
|   191|             1954|
|   192|             1869|
|   193|             1864|
|   194|             1952|
|   195|             1919|
|   196|             1892|
|   197|             1908|
|   198|             1884|
|   199|             1898|
|   200|             1999|
|   201|             2037|
|   202|             1827|
|   203|             1888|
|   204|             1857|
|   205|             1863|
|   206|             1852|
|   207|             1823|
|   208|             1803|
|   209|             1783|
|   210|             1806|
|   211|             1774|
|   212|             1748|
|   213|             1759|
|   214|             1743|
|   215|             1709|
|   216|             1742|
|   217|             1739|
|   218|             1760|
|   219|             1756|
|   220|             1905|
|   221|             1903|
|   222|             1869|
|   223|             1825|
|   224|             1810|
|   225|             1769|
|   226|             1770|
|   227|             1811|
|   228|             1846|
|   229|             1777|
|   230|             1862|
|   231|             1925|
|   232|             1925|
|   233|             1893|
|   234|             1771|
|   235|             1709|
|   236|             1752|
|   237|             1721|
|   238|             1716|
|   239|             1672|
|   240|             1681|
|   241|             1739|
|   242|             1747|
|   243|             1737|
|   244|             1612|
|   245|             1636|
|   246|             1643|
|   247|             1643|
|   248|             1624|
|   249|             1681|
|   250|             1681|
|   251|             1720|
|   252|             1874|
|   253|             1906|
|   254|             1784|
|   255|             1756|
|   256|             1791|
|   257|             1777|
|   258|             1703|
|   259|             1748|
|   260|             1757|
|   261|             1761|
|   262|             1777|
|   263|             1901|
|   264|             1888|
|   265|             1743|
|   266|             1747|
|   267|             1745|
|   268|             1712|
|   269|             1739|
|   270|             1742|
|   271|             1682|
|   272|             1703|
|   273|             1753|
|   274|             1741|
|   275|             1720|
|   276|             1653|
|   277|             1657|
|   278|             1692|
|   279|             1713|
|   280|             1718|
|   281|             1696|
|   282|             1732|
|   283|             1817|
|   284|             1833|
|   285|             1855|
|   286|             1820|
|   287|             1797|
|   288|             1788|
|   289|             1807|
|   290|             1760|
|   291|             1746|
|   292|             1784|
|   293|             1763|
|   294|             1836|
|   295|             1850|
|   296|             1860|
|   297|             1742|
|   298|             1733|
|   299|             1710|
|   300|             1718|
|   301|             1657|
|   302|             1653|
|   303|             1653|
|   304|             1698|
|   305|             1742|
|   306|             1762|
|   307|             1724|
|   308|             1655|
|   309|             1676|
|   310|             1637|
|   311|             1637|
|   312|             1688|
|   313|             1672|
|   314|             1672|
|   315|             1836|
|   316|             1831|
|   317|             1798|
|   318|             1764|
|   319|             1778|
|   320|             1732|
|   321|             1768|
|   322|             1739|
|   323|             1753|
|   324|             1726|
|   325|             1806|
|   326|             1873|
|   327|             1919|
|   328|             1833|
|   329|             1781|
|   330|             1768|
|   331|             1752|
|   332|             1802|
|   333|             1765|
|   334|             1744|
|   335|             1731|
|   336|             1815|
|   337|             1788|
|   338|             1828|
|   339|             1760|
|   340|             1716|
|   341|             1730|
|   342|             1721|
|   343|             1685|
|   344|             1715|
|   345|             1722|
|   346|             1775|
|   347|             1860|
|   348|             1805|
|   349|             1821|
|   350|             1676|
|   351|             1732|
|   352|             1716|
|   353|             1705|
|   354|             1737|
|   355|             1726|
|   356|             1731|
|   357|             1763|
|   358|             1926|
|   359|             1927|
|   360|             1706|
|   361|             1743|
|   362|             1751|
|   363|             1756|
|   364|             1699|
|   365|             1760|
|   366|             1785|
|   367|             1753|
|   368|             1837|
|   369|             1812|
|   370|             1737|
|   371|             1650|
|   372|             1686|
|   373|             1630|
|   374|             1664|
|   375|             1626|
|   376|             1656|
|   377|             1655|
|   378|             1739|
|   379|             1724|
|   380|             1695|
|   381|             1603|
|   382|             1610|
|   383|             1543|
|   384|             1657|
|   385|             1662|
|   386|             1639|
|   387|             1652|
|   388|             1664|
|   389|             1783|
|   390|             1753|
|   391|             1754|
|   392|             1655|
|   393|             1663|
|   394|             1695|
|   395|             1658|
|   396|             1657|
|   397|             1642|
|   398|             1646|
|   399|             1685|
|   400|             1722|
|   401|             1775|
|   402|             1692|
|   403|             1597|
|   404|             1600|
|   405|             1593|
|   406|             1593|
|   407|             1624|
|   408|             1644|
|   409|             1659|
|   410|             1784|
|   411|             1737|
|   412|             1729|
|   413|             1665|
|   414|             1704|
|   415|             1681|
|   416|             1614|
|   417|             1654|
|   418|             1666|
|   419|             1657|
|   420|             1701|
|   421|             1852|
|   422|             1769|
|   423|             1643|
|   424|             1590|
|   425|             1677|
|   426|             1613|
|   427|             1622|
|   428|             1587|
|   429|             1622|
|   430|             1633|
|   431|             1700|
|   432|             1662|
|   433|             1628|
|   434|             1559|
|   435|             1553|
|   436|             1514|
|   437|             1525|
|   438|             1515|
|   439|             1528|
|   440|             1555|
|   441|             1675|
|   442|             1732|
|   443|             1692|
|   444|             1643|
|   445|             1586|
|   446|             1628|
|   447|             1687|
|   448|             1648|
|   449|             1613|
|   450|             1703|
|   451|             1678|
|   452|             1720|
|   453|             1812|
|   454|             1791|
|   455|             1691|
|   456|             1647|
|   457|             1651|
|   458|             1675|
