cntcol LDV running on image 320x200, 32 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|                1|
|     1|                1|
|     2|                2|
|     3|                3|
|     4|                6|
|     5|                7|
|     6|               12|
|     7|               21|
|     8|               30|
|     9|               39|
|    10|               42|
|    11|               34|
|    12|               29|
|    13|               22|
|    14|               22|
|    15|               30|
|    16|               38|
|    17|               42|
|    18|               38|
|    19|               46|
|    20|               51|
|    21|               58|
|    22|               59|
|    23|               60|
|    24|               50|
|    25|               54|
|    26|               46|
|    27|               39|
|    28|               36|
|    29|               37|
|    30|               33|
|    31|               33|
|    32|               34|
|    33|               34|
|    34|               34|
|    35|               34|
|    36|               28|
|    37|               31|
|    38|               32|
|    39|               31|
|    40|               39|
|    41|               35|
|    42|               39|
|    43|               46|
|    44|               51|
|    45|               51|
|    46|               43|
|    47|               42|
|    48|               41|
|    49|               38|
|    50|               38|
|    51|               35|
|    52|               46|
|    53|               50|
|    54|               56|
|    55|               60|
|    56|               69|
|    57|               73|
|    58|               84|
|    59|               95|
|    60|              105|
|    61|              114|
|    62|              120|
|    63|              113|
|    64|              115|
|    65|              124|
|    66|              128|
|    67|              127|
|    68|              126|
|    69|              140|
|    70|              127|
|    71|              141|
|    72|              157|
|    73|              153|
|    74|              154|
|    75|              162|
|    76|              144|
|    77|              139|
|    78|              137|
|    79|              148|
|    80|              156|
|    81|              152|
|    82|              157|
|    83|              143|
|    84|              140|
|    85|              135|
|    86|              132|
|    87|              101|
|    88|               93|
|    89|               70|
|    90|               53|
|    91|               50|
|    92|               65|
|    93|               97|
|    94|              173|
|    95|              163|
|    96|              142|
|    97|              164|
|    98|              157|
|    99|              129|
|   100|              113|
|   101|              109|
|   102|              120|
|   103|               93|
|   104|               86|
|   105|               89|
|   106|               85|
|   107|               73|
|   108|               63|
|   109|               67|
|   110|               65|
|   111|               67|
|   112|               81|
|   113|               67|
|   114|               66|
|   115|               65|
|   116|               54|
|   117|               54|
|   118|               52|
|   119|               48|
|   120|               53|
|   121|               47|
|   122|               41|
|   123|               56|
|   124|               48|
|   125|               53|
|   126|               64|
|   127|               72|
|   128|               75|
|   129|               76|
|   130|               71|
|   131|               69|
|   132|               71|
|   133|               83|
|   134|               67|
|   135|               59|
|   136|               66|
|   137|               66|
|   138|               63|
|   139|               53|
|   140|               56|
|   141|               67|
|   142|               69|
|   143|               63|
|   144|               50|
|   145|               49|
|   146|               50|
|   147|               44|
|   148|               46|
|   149|               48|
|   150|               48|
|   151|               45|
|   152|               37|
|   153|               49|
|   154|               61|
|   155|               50|
|   156|               56|
|   157|               54|
|   158|               48|
|   159|               50|
|   160|               47|
|   161|               44|
|   162|               42|
|   163|               52|
|   164|               55|
|   165|               58|
|   166|               62|
|   167|               75|
|   168|               86|
|   169|               94|
|   170|               90|
|   171|               85|
|   172|               74|
|   173|               82|
|   174|               86|
|   175|               85|
|   176|               77|
|   177|               67|
|   178|               54|
|   179|               50|
|   180|               53|
|   181|               43|
|   182|               44|
|   183|               51|
|   184|               54|
|   185|               51|
|   186|               59|
|   187|               62|
|   188|               55|
|   189|               62|
|   190|               57|
|   191|               54|
|   192|               56|
|   193|               57|
|   194|               43|
|   195|               40|
|   196|               32|
|   197|               29|
|   198|               22|
|   199|               17|
-------|------------------
|Total |             2160|
-------|------------------
RAM used: 2049 KB
Computation time: 30 ms
