cntcol LDV running on image 3984x1538, 8 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|               36|
|     1|               37|
|     2|               32|
|     3|               34|
|     4|               31|
|     5|               31|
|     6|               31|
|     7|               31|
|     8|               27|
|     9|               30|
|    10|               28|
|    11|               30|
|    12|               26|
|    13|               28|
|    14|               27|
|    15|               26|
|    16|               24|
|    17|               27|
|    18|               26|
|    19|               29|
|    20|               27|
|    21|               25|
|    22|               27|
|    23|               30|
|    24|               28|
|    25|               24|
|    26|               27|
|    27|               26|
|    28|               28|
|    29|               29|
|    30|               29|
|    31|               33|
|    32|               29|
|    33|               29|
|    34|               29|
|    35|               31|
|    36|               28|
|    37|               29|
|    38|               32|
|    39|               28|
|    40|               29|
|    41|               29|
|    42|               26|
|    43|               29|
|    44|               26|
|    45|               28|
|    46|               29|
|    47|               28|
|    48|               26|
|    49|               27|
|    50|               26|
|    51|               29|
|    52|               28|
|    53|               29|
|    54|               28|
|    55|               27|
|    56|               29|
|    57|               31|
|    58|               34|
|    59|               31|
|    60|               31|
|    61|               29|
|    62|               29|
|    63|               29|
|    64|               32|
|    65|               32|
|    66|               34|
|    67|               31|
|    68|               36|
|    69|               30|
|    70|               28|
|    71|               28|
|    72|               31|
|    73|               29|
|    74|               27|
|    75|               27|
|    76|               29|
|    77|               28|
|    78|               27|
|    79|               27|
|    80|               31|
|    81|               29|
|    82|               29|
|    83|               28|
|    84|               28|
|    85|               29|
|    86|               30|
|    87|               29|
|    88|               28|
|    89|               29|
|    90|               28|
|    91|               29|
|    92|               27|
|    93|               29|
|    94|               31|
|    95|               29|
|    96|               29|
|    97|               28|
|    98|               30|
|    99|               28|
|   100|               30|
|   101|               25|
|   102|               27|
|   103|               24|
|   104|               26|
|   105|               25|
|   106|               27|
|   107|               25|
|   108|               27|
|   109|               29|
|   110|               28|
|   111|               27|
|   112|               26|
|   113|               28|
|   114|               29|
|   115|               28|
|   116|               26|
|   117|               27|
|   118|               26|
|   119|               27|
|   120|               25|
|   121|               28|
|   122|               30|
|   123|               25|
|   124|               28|
|   125|               27|
|   126|               27|
|   127|               24|
|   128|               25|
|   129|               28|
|   130|               26|
|   131|               28|
|   132|               29|
|   133|               25|
|   134|               25|
|   135|               24|
|   136|               27|
|   137|               28|
|   138|               28|
|   139|               25|
|   140|               28|
|   141|               27|
|   142|               26|
|   143|               28|
|   144|               27|
|   145|               25|
|   146|               26|
|   147|               25|
|   148|               28|
|   149|               24|
|   150|               27|
|   151|               26|
|   152|               25|
|   153|               27|
|   154|               26|
|   155|               27|
|   156|               24|
|   157|               27|
|   158|               29|
|   159|               24|
|   160|               25|
|   161|               26|
|   162|               26|
|   163|               24|
|   164|               26|
|   165|               28|
|   166|               26|
|   167|               24|
|   168|               26|
|   169|               26|
|   170|               26|
|   171|               23|
|   172|               24|
|   173|               24|
|   174|               26|
|   175|               24|
|   176|               27|
|   177|               29|
|   178|               26|
|   179|               26|
|   180|               25|
|   181|               28|
|   182|               26|
|   183|               24|
|   184|               25|
|   185|               25|
|   186|               25|
|   187|               24|
|   188|               25|
