cntcol LDV running on image 1424x1001, 4 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|                2|
|     1|                2|
|     2|                2|
|     3|                2|
|     4|                2|
|     5|                2|
|     6|                2|
|     7|                2|
|     8|                2|
|     9|                2|
|    10|                2|
|    11|                2|
|    12|               16|
|    13|               16|
|    14|               16|
|    15|               16|
|    16|               16|
|    17|               16|
|    18|               16|
|    19|               16|
|    20|               16|
|    21|               16|
|    22|               16|
|    23|               16|
|    24|               16|
|    25|               16|
|    26|               16|
|    27|               16|
|    28|               16|
|    29|               16|
|    30|               16|
|    31|               16|
|    32|               16|
|    33|               16|
|    34|               16|
|    35|               16|
|    36|               16|
|    37|               16|
|    38|               16|
|    39|               16|
|    40|               15|
|    41|               15|
|    42|               15|
|    43|               15|
|    44|               15|
|    45|               15|
|    46|               15|
|    47|               15|
|    48|               15|
|    49|               15|
|    50|               15|
|    51|               15|
|    52|               15|
|    53|               15|
|    54|               15|
|    55|               15|
|    56|               15|
|    57|               15|
|    58|               15|
|    59|               15|
|    60|               15|
|    61|               15|
|    62|               15|
|    63|               15|
|    64|               15|
|    65|               16|
|    66|               16|
|    67|               16|
|    68|               16|
|    69|               16|
|    70|               16|
|    71|               15|
|    72|               16|
|    73|               16|
|    74|               16|
|    75|               16|
|    76|               16|
|    77|               16|
|    78|               16|
|    79|               16|
|    80|               16|
|    81|               16|
|    82|               16|
|    83|               16|
|    84|               16|
|    85|               16|
|    86|               16|
|    87|               16|
|    88|               16|
|    89|               16|
|    90|               16|
|    91|               16|
|    92|               16|
|    93|               16|
|    94|               16|
|    95|               16|
|    96|               16|
|    97|               16|
|    98|               16|
|    99|               16|
|   100|               16|
|   101|               16|
|   102|               16|
|   103|               16|
|   104|               16|
|   105|               16|
|   106|               16|
|   107|               16|
|   108|               16|
|   109|               16|
|   110|               16|
|   111|               16|
|   112|               15|
|   113|               15|
|   114|               15|
|   115|               15|
|   116|               15|
|   117|               15|
|   118|               15|
|   119|               15|
|   120|               15|
|   121|               15|
|   122|               14|
|   123|               14|
|   124|               14|
|   125|               14|
|   126|               14|
|   127|               14|
|   128|               14|
|   129|               14|
|   130|               14|
|   131|               14|
|   132|               13|
|   133|               13|
|   134|               13|
|   135|               13|
|   136|               13|
|   137|               14|
|   138|               14|
|   139|               14|
|   140|               15|
|   141|               15|
|   142|               15|
|   143|               15|
|   144|               15|
|   145|               15|
|   146|               16|
|   147|               16|
|   148|               16|
|   149|               16|
|   150|               16|
|   151|               16|
|   152|               16|
|   153|               16|
|   154|               16|
|   155|               16|
|   156|               16|
|   157|               16|
|   158|               16|
|   159|               16|
|   160|               16|
|   161|               16|
|   162|               16|
|   163|               16|
|   164|               16|
|   165|               16|
|   166|               16|
|   167|               16|
|   168|               16|
|   169|               16|
|   170|               16|
|   171|               16|
|   172|               16|
|   173|               16|
|   174|               16|
|   175|               16|
|   176|               16|
|   177|               16|
|   178|               16|
|   179|               16|
|   180|               16|
|   181|               16|
|   182|               16|
|   183|               16|
|   184|               16|
|   185|               16|
|   186|               16|
|   187|               16|
|   188|               16|
|   189|               16|
|   190|               16|
|   191|               16|
|   192|               16|
|   193|               16|
|   194|               16|
|   195|               16|
|   196|               16|
|   197|               16|
|   198|               16|
|   199|               16|
|   200|               16|
|   201|               16|
|   202|               16|
|   203|               16|
|   204|               16|
|   205|               16|
|   206|               16|
|   207|               16|
|   208|               16|
|   209|               16|
|   210|               16|
|   211|               16|
|   212|               16|
|   213|               16|
|   214|               16|
|   215|               16|
|   216|               16|
|   217|               16|
|   218|               16|
|   219|               16|
|   220|               16|
|   221|               16|
|   222|               16|
|   223|               16|
|   224|               16|
|   225|               16|
|   226|               16|
|   227|               16|
|   228|               16|
|   229|               16|
|   230|               16|
|   231|               16|
|   232|               16|
|   233|               16|
|   234|               16|
|   235|               16|
|   236|               16|
|   237|               16|
|   238|               16|
|   239|               16|
|   240|               16|
|   241|               16|
|   242|               16|
|   243|               16|
|   244|               16|
|   245|               16|
|   246|               16|
|   247|               16|
|   248|               16|
|   249|               16|
|   250|               16|
|   251|               16|
|   252|               16|
|   253|               16|
|   254|               16|
|   255|               16|
|   256|               16|
|   257|               16|
|   258|               16|
|   259|               16|
|   260|               15|
|   261|               15|
|   262|               15|
|   263|               15|
|   264|               15|
|   265|               15|
|   266|               15|
|   267|               15|
