cntcol LDV running on image 208x204, 32 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|                1|
|     1|                1|
|     2|                1|
|     3|                4|
|     4|                4|
|     5|                4|
|     6|                4|
|     7|               12|
|     8|               12|
|     9|                4|
|    10|                4|
|    11|               12|
|    12|               12|
|    13|                4|
|    14|                4|
|    15|               12|
|    16|               12|
|    17|                4|
|    18|                4|
|    19|               12|
|    20|               12|
|    21|                4|
|    22|                4|
|    23|               12|
|    24|               12|
|    25|                4|
|    26|                4|
|    27|               11|
|    28|               11|
|    29|                4|
|    30|                4|
|    31|               10|
|    32|               10|
|    33|                4|
|    34|                4|
|    35|               12|
|    36|               12|
|    37|                4|
|    38|                4|
|    39|               12|
|    40|               12|
|    41|                4|
|    42|                4|
|    43|               12|
|    44|               12|
|    45|                4|
|    46|                4|
|    47|               11|
|    48|               11|
|    49|                4|
|    50|                4|
|    51|               12|
|    52|               12|
|    53|                4|
|    54|                4|
|    55|               12|
|    56|               12|
|    57|                4|
|    58|                4|
|    59|               12|
|    60|               12|
|    61|                4|
|    62|                4|
|    63|               12|
|    64|               12|
|    65|                4|
|    66|                4|
|    67|               12|
|    68|               12|
|    69|                4|
|    70|                4|
|    71|               12|
|    72|               12|
|    73|                4|
|    74|                4|
|    75|               12|
|    76|               12|
|    77|                4|
|    78|                4|
|    79|               12|
|    80|               12|
|    81|                4|
|    82|                4|
|    83|               12|
|    84|               12|
|    85|                4|
|    86|                4|
|    87|               12|
|    88|               12|
|    89|                4|
|    90|                4|
|    91|               12|
|    92|               12|
|    93|                4|
|    94|                4|
|    95|               12|
|    96|               12|
|    97|                4|
|    98|                4|
|    99|               12|
|   100|               12|
|   101|                4|
|   102|                4|
|   103|               12|
|   104|               12|
|   105|                4|
|   106|                4|
|   107|               12|
|   108|               12|
|   109|                4|
|   110|                4|
|   111|               12|
|   112|               12|
|   113|                4|
|   114|                4|
|   115|               12|
|   116|               12|
|   117|                4|
|   118|                4|
|   119|               12|
|   120|               12|
|   121|                4|
|   122|                4|
|   123|               12|
|   124|               12|
|   125|                4|
|   126|                4|
|   127|               12|
|   128|               12|
|   129|                4|
|   130|                4|
|   131|               12|
|   132|               12|
|   133|                4|
|   134|                4|
|   135|               12|
|   136|               12|
|   137|                4|
|   138|                4|
|   139|               12|
|   140|               12|
|   141|                4|
|   142|                4|
|   143|               12|
|   144|               12|
|   145|                4|
|   146|                4|
|   147|               12|
|   148|               12|
|   149|                4|
|   150|                4|
|   151|               12|
|   152|               12|
|   153|                4|
|   154|                4|
|   155|               12|
|   156|               12|
|   157|                4|
|   158|                4|
|   159|               12|
|   160|               12|
|   161|                4|
|   162|                4|
|   163|               12|
|   164|               12|
|   165|                4|
|   166|                4|
|   167|               12|
|   168|               12|
|   169|                4|
|   170|                4|
|   171|               10|
|   172|               10|
|   173|                4|
|   174|                4|
|   175|               12|
|   176|               12|
|   177|                4|
|   178|                4|
|   179|               12|
|   180|               12|
|   181|                4|
|   182|                4|
|   183|               12|
|   184|               12|
|   185|                4|
|   186|                4|
|   187|               12|
|   188|               12|
|   189|                4|
|   190|                4|
|   191|               12|
|   192|               12|
|   193|                4|
|   194|                4|
|   195|               12|
|   196|               12|
|   197|                4|
|   198|                4|
|   199|                4|
|   200|                4|
|   201|                1|
|   202|                2|
|   203|               55|
-------|------------------
|Total |               68|
-------|------------------
RAM used: 2048 KB
Computation time: 20 ms
