cntcol LDV running on image 640x480, 32 bitplanes:
-------|--------------------
| Line | # unique colors |
|     0|               73|
|     1|               72|
|     2|               77|
|     3|               71|
|     4|               76|
|     5|               86|
|     6|               82|
|     7|               84|
|     8|               89|
|     9|               95|
|    10|              121|
|    11|              122|
|    12|              120|
|    13|              141|
|    14|              149|
|    15|              142|
|    16|              140|
|    17|              137|
|    18|              139|
|    19|              135|
|    20|              134|
|    21|              133|
|    22|              130|
|    23|              131|
|    24|              130|
|    25|              134|
|    26|              132|
|    27|              136|
|    28|              138|
|    29|              137|
|    30|              144|
|    31|              134|
|    32|              139|
|    33|              140|
|    34|              148|
|    35|              145|
|    36|              142|
|    37|              134|
|    38|              137|
|    39|              136|
|    40|              134|
|    41|              134|
|    42|              139|
|    43|              140|
|    44|              135|
|    45|              141|
|    46|              134|
|    47|              145|
|    48|              142|
|    49|              145|
|    50|              142|
|    51|              150|
|    52|              142|
|    53|              147|
|    54|              155|
|    55|              149|
|    56|              152|
|    57|              160|
|    58|              156|
|    59|              150|
|    60|              155|
|    61|              159|
|    62|              157|
|    63|              157|
|    64|              159|
|    65|              162|
|    66|              163|
|    67|              158|
|    68|              161|
|    69|              156|
|    70|              156|
|    71|              161|
|    72|              163|
|    73|              168|
|    74|              168|
|    75|              170|
|    76|              159|
|    77|              165|
|    78|              172|
|    79|              172|
|    80|              176|
|    81|              167|
|    82|              172|
|    83|              168|
|    84|              170|
|    85|              162|
|    86|              169|
|    87|              176|
|    88|              178|
|    89|              168|
|    90|              169|
|    91|              164|
|    92|              172|
|    93|              176|
|    94|              175|
|    95|              183|
|    96|              179|
|    97|              174|
|    98|              176|
|    99|              176|
|   100|              176|
|   101|              179|
|   102|              179|
|   103|              183|
|   104|              182|
|   105|              182|
|   106|              180|
|   107|              184|
|   108|              174|
|   109|              177|
|   110|              180|
|   111|              180|
|   112|              174|
|   113|              171|
|   114|              173|
|   115|              180|
|   116|              177|
|   117|              181|
|   118|              184|
|   119|              176|
|   120|              174|
|   121|              173|
|   122|              181|
|   123|              175|
|   124|              173|
|   125|              184|
|   126|              192|
|   127|              190|
|   128|              195|
|   129|              193|
|   130|              199|
|   131|              188|
|   132|              191|
|   133|              191|
|   134|              189|
|   135|              187|
|   136|              194|
|   137|              191|
|   138|              186|
|   139|              185|
|   140|              181|
|   141|              186|
|   142|              185|
|   143|              185|
|   144|              181|
|   145|              178|
|   146|              179|
|   147|              183|
|   148|              180|
|   149|              183|
|   150|              179|
|   151|              181|
|   152|              174|
|   153|              168|
|   154|              170|
|   155|              180|
|   156|              178|
|   157|              180|
|   158|              177|
|   159|              169|
|   160|              163|
|   161|              167|
|   162|              163|
|   163|              159|
|   164|              156|
|   165|              150|
|   166|              149|
|   167|              152|
|   168|              158|
|   169|              155|
|   170|              156|
|   171|              157|
|   172|              144|
|   173|              147|
|   174|              139|
|   175|              142|
|   176|              137|
|   177|              138|
|   178|              136|
|   179|              138|
|   180|              137|
|   181|              141|
|   182|              142|
|   183|              144|
|   184|              142|
|   185|              148|
|   186|              142|
|   187|              142|
|   188|              144|
|   189|              145|
|   190|              149|
|   191|              156|
|   192|              158|
|   193|              159|
|   194|              156|
|   195|              155|
|   196|              163|
|   197|              156|
|   198|              157|
|   199|              158|
|   200|              162|
|   201|              163|
|   202|              157|
|   203|              161|
|   204|              156|
|   205|              157|
|   206|              159|
|   207|              157|
|   208|              162|
|   209|              154|
|   210|              157|
|   211|              153|
|   212|              152|
|   213|              158|
|   214|              157|
|   215|              154|
|   216|              145|
|   217|              146|
|   218|              145|
|   219|              154|
|   220|              156|
|   221|              155|
|   222|              159|
|   223|              160|
|   224|              162|
|   225|              167|
|   226|              164|
|   227|              174|
|   228|              176|
|   229|              164|
|   230|              172|
|   231|              184|
|   232|              166|
|   233|              171|
|   234|              172|
|   235|              172|
|   236|              177|
|   237|              184|
|   238|              185|
|   239|              188|
|   240|              195|
|   241|              194|
|   242|              196|
|   243|              200|
|   244|              202|
|   245|              194|
|   246|              190|
|   247|              202|
