OFFLINE	Fri Sep 19 05:37:34 1997
ONLINE Nullmodem	Fri Sep 19 05:41:16 1997
OFFLINE Nullmodem	Fri Sep 19 05:41:30 1997
ONLINE Vaihingen SLIP	Fri Sep 19 08:55:20 1997
OFFLINE Vaihingen SLIP	Fri Sep 19 09:26:24 1997
ONLINE Vaihingen SLIP	Fri Sep 19 09:42:28 1997
OFFLINE Vaihingen SLIP	Fri Sep 19 09:55:04 1997
ONLINE Vaihingen SLIP	Fri Sep 19 10:03:10 1997
OFFLINE Vaihingen SLIP	Fri Sep 19 10:33:54 1997
ONLINE Vaihingen SLIP	Fri Sep 19 11:18:12 1997
OFFLINE Vaihingen SLIP	Fri Sep 19 11:23:26 1997
ONLINE Vaihingen SLIP	Mon Sep 22 15:16:04 1997
OFFLINE Vaihingen SLIP	Mon Sep 22 15:20:02 1997
ONLINE Nullmodem	Tue Sep 23 20:13:44 1997
OFFLINE Nullmodem	Tue Sep 23 20:16:12 1997
ONLINE Vaihingen SLIP	Tue Sep 23 20:19:50 1997
OFFLINE Vaihingen SLIP	Tue Sep 23 20:21:52 1997
ONLINE Test	Thu Sep 25 15:59:20 1997
OFFLINE Test	Thu Sep 25 16:00:18 1997
ONLINE Test	Sun Sep 28 03:58:02 1997
OFFLINE Test	Sun Sep 28 03:59:46 1997
ONLINE Test	Sun Sep 28 04:12:06 1997
OFFLINE Test	Sun Sep 28 04:13:50 1997
ONLINE Test	Sun Sep 28 04:16:28 1997
OFFLINE Test	Sun Sep 28 04:55:44 1997
ONLINE Vaihingen Test PPP	Mon Sep 29 09:38:46 1997
ONLINE Vaihingen Test PPP	Mon Sep 29 09:47:30 1997
ONLINE Vaihingen Test PPP	Mon Sep 29 09:48:48 1997
ONLINE Vaihingen Test PPP	Mon Sep 29 09:52:54 1997
OFFLINE Vaihingen Test PPP	Mon Sep 29 09:58:30 1997
ONLINE Vaihingen Test PPP	Mon Sep 29 10:32:10 1997
OFFLINE Vaihingen Test PPP	Mon Sep 29 10:36:08 1997
ONLINE Vaihingen Test PPP	Mon Sep 29 10:39:12 1997
OFFLINE Vaihingen Test PPP	Mon Sep 29 10:41:40 1997
ONLINE Vaihingen Test PPP	Mon Sep 29 10:48:08 1997
OFFLINE Vaihingen Test PPP	Mon Sep 29 11:15:54 1997
ONLINE Vaihingen Test PPP	Mon Sep 29 12:32:02 1997
OFFLINE Vaihingen Test PPP	Mon Sep 29 12:32:10 1997
ONLINE Vaihingen Test PPP	Mon Sep 29 13:19:16 1997
OFFLINE Vaihingen Test PPP	Mon Sep 29 13:24:38 1997
ONLINE Compuserve	Tue Sep 30 17:34:38 1997
OFFLINE Compuserve	Tue Sep 30 17:35:54 1997
ONLINE Compuserve	Tue Sep 30 17:50:50 1997
OFFLINE Compuserve	Tue Sep 30 17:51:02 1997
ONLINE Vaihingen Test PPP	Thu Oct 09 23:52:04 1997
OFFLINE Vaihingen Test PPP	Thu Oct 09 23:59:04 1997
ONLINE Vaihingen Test PPP	Tue Nov 04 18:36:42 1997
OFFLINE Vaihingen Test PPP	Tue Nov 04 20:02:52 1997
ONLINE Vaihingen Test PPP	Thu Nov 13 20:13:52 1997
OFFLINE Vaihingen Test PPP	Thu Nov 13 20:31:40 1997
ONLINE Vaihingen Test PPP	Thu Nov 13 20:32:56 1997
OFFLINE Vaihingen Test PPP	Thu Nov 13 20:48:38 1997
ONLINE Vaihingen Test PPP	Mon Nov 17 16:55:32 1997
OFFLINE Vaihingen Test PPP	Mon Nov 17 17:00:40 1997
ONLINE Vaihingen Test PPP	Mon Nov 17 17:01:18 1997
