
*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*

ð Liste des 423 boots reconnus par La bibliothŠque v 4.23 
ð DerniŠres modifs: 12 Janvier 1999

*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*=*


---------------------------------------------------------------------------
ð Utilitaires [021] 
---------------------------------------------------------------------------

 001 - AUDIOSCULPTURE                       Expose Software
 002 - BLITTER EMULATOR II                  Awe/Q2
 003 - BOOT60HZ 1.0
 004 - CONFIG OPTIMIZER                     ???
 005 - COPYLOCK ST                          Rob Northen
 006 - DATE/HEURE                           ???
 007 - DATUM KALLSTART (DATE/HEURE/60HZ)    ???
 008 - DRIVER HD AHDI                       Atari
 009 - DRIVER HD ICD                        Icd
 010 - GEN & WAX BOOT 3                     Gen & Wax
 011 - LAZER FORMAT                         Eric Reboux (Zool The Best)
 012 - LAZER FORMAT 1.5                     Eric Reboux (Zool The Best)
 013 - MEDIUM REZ BOOT                      R. Karsmakers                      
 014 - MEDWAY BOYS TURN OFF DRIVE B         Medway Boys
 015 - MONO EMULATOR II                     Awe/Q2
 016 - NEO LOADER BOOTSECTOR                ???
 017 - PROTEC6                              Lars-Erik 0sterud
 018 - SILKBOOT 2E                          Mark Slagell
 019 - UTILITY BOOT                         Odc/Sector One
 020 - UTILITY BOOT 2                       Odc/Sector One
 021 - UTILITY BOOT 3                       Odc/Sector One


---------------------------------------------------------------------------
ð Antivirus [143]	
---------------------------------------------------------------------------
 
 001 - AGGRABOOT II
 001 - ANTIBIOTIC                           S & B Enselme
 002 - ANTI VIREN KIT                       ???
 003 - ANTIVIRUS 5.1 [not cloning]          ???
 004 - ANTIVIRUS BOOT 1.1                   ???
 005 - AQUARIUM BOOT                        Aquarium/Sector One
 006 - ARBOOT 3.3                           Megar/Binaris
 007 - AUTOMATION BOOT                      Automation
 008 - AUTOMATION FREE BOOT                 Automation
 009 - BAD BOYS BOOTSECTOR                  Bad Boys
 010 - BAND'COOLS BOOT                      Pips/Dnt Crew
 011 - BLADE RUNNERS INTRO [bra]            Blade Runners
 012 - BLADE RUNNERS INTRO [bra.s]          Blade Runners
 013 - BOOTBLOCK V 1.2                      ???
 014 - BOOT PROTECTOR 1.xx                  Fantomas & Red October
 015 - BOOT PROTECTOR II                    Michel Goux (Fantomas)
 016 - BOOTWRITE 2.7                        Mick/Dnt Crew
 017 - BOOTZUUL                             Ken
 018 - BOULBOOT 2.0                         Bouldog
 019 - BOULBOOT III                         Bouldog
 020 - COMP'PRINT BOOT                      Pips/Dnt Crew
 021 - CONAN CD DOC                         Cnc
 022 - CORPORATION BOOT                     Corporation
 023 - CRAZY BOY BOOT                       Crazy Boy
 024 - CST BEEPER                           The Constellations
 025 - DAFFY'S PROTECTION                   Daffy
 026 - DELTA FORCE 4MB FIX                  Wizzcat
 027 - D.C.K BOOTSECTOR                     D.C.K authors !                    
 028 - DISK BOOT B                          Odc
 029 - DISKOPUS BOOT 1.10                   Stand Software (Thomas Nilsen)
 030 - DISQUETTE BOOT                       Digital Rainbow
 031 - DNT 3D BOOT                          Nullos/Dnt Crew
 032 - DNT BOOT ZOOM                        Nullos/Dnt Crew
 033 - DNT DRAW BOOT                        Nullos/Dnt Crew
 034 - DNT FULL BOOT                        Nullos/Dnt Crew
 035 - DNT HARD BOOT                        Nullos/Dnt Crew
 036 - DNT MAND BOOT                        Nullos/Dnt Crew
 037 - DNT PAPER 2                          Dnt Crew
 038 - DNT RASTA BOOT                       Nullos/Dnt Crew
