#
# File description
#
@FILENAME=E:\JEUX\DGEM\DGEM.DAT\DATAS\ACTIONS.DDB
@SEPARATOR=,
#
# Structure description
#
@COLUMN1=INT      # ID
@COLUMN2=CHAR(16) # Name
@COLUMN3=INT      # Improved skill
@COLUMN4=INT      # Experience gain
@COLUMN5=INT      # Defense modifier
@COLUMN6=INT      # stamina
@COLUMN7=INT      # hit probability
@COLUMN8=INT      # damage
@COLUMN9=INT      # fatigue
@COLUMN10=INT     # charge used
#
# List of records
#
1,BLOCK,7,8,36,4,22,15,6,0
2,CHOP,6,10,0,9,48,48,8,0
3,BLOW HORN,14,0,-4,1,0,0,6,0
4,FLIP,12,0,-10,0,0,0,3,0
5,PUNCH,9,8,-10,1,38,32,1,0
6,KICK,9,13,-5,3,28,48,5,0
7,WAR CRY,7,7,4,1,0,0,3,0
8,STAB,9,15,-20,3,30,48,5,0
9,CLIMB DOWN,8,15,-15,40,0,0,35,0
10,FREEZE LIFE,14,22,-10,3,0,0,20,1
11,HIT,9,10,16,3,20,20,4,0
12,SWING,4,6,5,2,32,16,6,0
13,THRUST,5,19,-17,15,57,66,16,0
14,JAB,5,11,-5,3,70,8,2,0
15,PARRY,7,17,29,1,18,8,18,0
16,HACK,4,9,10,6,27,25,8,0
17,BERZERK,4,40,-10,33,46,96,30,0
18,FIREBALL,16,35,-7,5,0,0,42,1
19,DISPELL,17,25,-7,2,0,0,31,1
20,CONFUSE,14,0,-7,2,0,0,10,1
21,LIGHTNING,17,30,-7,4,0,0,38,1
22,DISRUPT,17,10,-7,5,46,55,9,0
23,MELEE,6,24,-5,21,64,60,20,0
24,INVOKE,3,25,-9,2,0,0,16,0
25,SLASH,4,9,4,2,26,16,4,0
26,CLEAVE,4,12,0,10,40,48,12,0
27,BASH,6,11,0,9,32,50,20,0
28,STUN,6,10,5,2,50,16,7,0
29,SHOOT,11,14,-15,3,0,0,14,0
30,SPELLSHIELD,15,20,-7,1,0,0,30,1
31,FIRESHIELD,15,20,-7,2,0,0,35,1
32,FLUXCAGE,3,12,8,6,0,0,2,0
33,HEAL,13,0,-20,1,0,0,19,0
34,CALM,14,0,-5,1,0,0,9,0
35,LIGHT,17,20,0,3,0,0,10,1
36,WINDOW,18,30,-15,2,0,0,15,1
37,SPIT,16,25,-7,3,0,0,22,0
38,BRANDISH,14,0,-4,2,0,0,10,0
39,THROW,10,5,0,0,0,0,0,0
40,FUSE,3,1,8,2,0,0,2,0
#
# end of records
#
