#
# File description
#
@FILENAME=E:\JEUX\DGEM\DGEM.DAT\SOUNDS\SOUNDS.IDX
@SEPARATOR=,
#
# Structure description
#
@COLUMN1=INT       # sound ID
@COLUMN2=CHAR(60)  # path and name (without DGW extension) in the sounds folder
#
# List of values
#
1,CHAR\BUMP
2,CHAR\SCREAM
3,DUNGEON\DOOR
4,DUNGEON\TELEPORT
5,DUNGEON\SWITCH
6,DUNGEON\THUNK
7,CHAR\GULP
8,DUNGEON\WATEREL
9,DUNGEON\ZAP
10,DUNGEON\EXPLODE
11,CHAR\BOW
12,CHAR\HORN
13,CHAR\SWING
14,CHAR\WARCRY
15,MONSTER\COUALT
16,MONSTER\FLAP
17,MONSTER\GIGGLER
18,MONSTER\MUMMY
19,MONSTER\OITU
20,MONSTER\ROAR
21,MONSTER\ROCKPILE
22,MONSTER\SCORPION
23,MONSTER\SLIME
24,MONSTER\STEP
25,MONSTER\WORM
26,CHAR\OOF
27,DUNGEON\DINK
#28,CHAR\WHIP
#
#
#
#

