18,"Fuûball-Bundesliga"
"Borussia Dortmund",30,38,50,56,34,14,2,18
"Bayer 04 Leverkusen",38,30,59,45,34,18,2,14
"Hamburger SV",53,15,61,36,34,24,5,5
"1.FC Kîln",31,37,44,54,34,14,3,17
"FC Schalke 04",37,31,43,40,34,16,5,13
"Hannover 96",43,25,60,44,34,20,3,11
"1.FC Kaiserslautern",16,52,29,54,34,6,4,24
"Bayern MÅnchen",27,41,46,53,34,12,3,19
"Waldhof Mannheim",35,33,54,53,34,17,1,16
"Werder Bremen",35,33,58,52,34,16,3,15
"1.FC NÅrnberg",28,40,42,52,34,12,4,18
"Bayer 05 Uerdingen",50,18,54,41,34,24,2,8
"VfL Borussia M'gladbach",57,11,72,27,34,27,3,4
"Karlsruher SC",33,35,49,52,34,15,3,16
"VfL Bochum",26,42,46,57,34,9,8,17
"Eintracht Frankfurt",35,33,53,48,34,16,3,15
"FC Homburg",17,51,29,66,34,7,3,24
"VfB Stuttgart",21,47,34,53,34,9,3,22
