 LEVEL NAME,LEVEL NUMBER,WALLSET,MAPFILE,DISK
Fortress Approach,0,FOREST,APPROACH,1
Gatehouse,1,GREY,GATEHS,1
Insectoid Barracks Lower,2,PURPLE,BARRAX1,2
Insectoid Barracks Upper,3,PURPLE,BARRAX2,2
Forest Tunnels,4,CAVES,CAVE1,2
Forgotten Caves,5,CAVES,CAVE2,2
Maeldune Forest,6,FOREST,THICKET,1
Naga Chambers Lower,7,COPPER,NAGA1,3
Naga Chambers Upper,8,COPPER,NAGA2,3
Crypt of the Ophidians,9,DGREY,CRYPT1,3
Secret Catacomb,10,DGREY,CRYPT1,3
Middle Temple,11,GREEN,TEMPLE1,4
Inner Temple,12,ORGREEN,TEMPLE2,4
Base of Pyramid,13,IDUNGEON,PYRAMID1,4
Pyramid Upper Levels,14,IDUNGEON,PYRAMID2,4
Lair of the Ultimate Showdown,15,PYRATOP,PYRAMID3,4

