Soldier Ant,64,128,2,40,55,2,77,0,0,SOLANT
Yale,128,64,1,69,39,1,90,0,0,YALE
Mechamantis,128,128,3,60,55,2,79,1,1,MECHMANT
Megapede,128,64,1,40,85,3,98,0,1,MEGAPEDE
Cave Moth,64,64,1,34,71,1,46,0,0,MOTH
Mechamantis Lord,128,128,3,75,69,2,99,1,1,MANTLORD
Baelon,128,128,1,99,75,2,140,0,2,BAELON
Manticore,128,128,1,120,80,1,135,0,4,MANTICOR
Anacobra,64,128,3,80,76,3,90,2,6,SNEK
Rhaptodon,128,64,1,87,55,1,67,0,4,SCAV
Petrox,128,64,3,60,120,3,101,3,5,PETROX
Naga,128,128,1,95,99,2,85,2,64,NAGA
Lesser Gorgon,64,128,1,105,100,2,90,4,4,LESSGORG
Keraunosaur,128,128,1,160,189,3,190,5,37,KERAUNO
Triffid,128,128,1,120,58,2,99,5,64,TRIFFID
Archer Ant,64,128,2,40,55,2,77,0,0,ARCANT
Hollower,128,128,1,77,54,2,67,5,128,HOLLOWER
Super Soldier Ant,128,128,3,75,85,2,77,0,0,HVYANT
Sandiff,128,64,3,60,120,3,101,3,6,SANDIFF
Drone,128,64,4,69,39,1,90,0,0,DRONE
