*NAME,OBJICN,OBJHERE,OBJNEAR,OBJFAR,OBJVFAR,OBJVVFAR,PROJNEAR,PROJFAR,PROJVFAR,PROJVVFAR,TYPE,BUFF (1=str 2=dex 3=int 4=con 5=res 6=hp 7=mana 8=stam 9=magres 10=consumption 11=critchance),BUFFAMOUNT,DAMTYPE (1=slash 2=chop 3=stab 4=blunt 5=absolute),AF,DF,AC,EFFECT,ACTION,MINSTR,MININT,MINRES,HANDS
Bell,1,1,2,3,4,5,,,,,MISC,0,0,0,0,0,0,0,*,0,0,0,1
Book,2,6,7,8,9,10,,,,,MISC,0,0,0,0,0,0,0,*,0,0,0,1
Candle,3,11,12,13,14,15,,,,,MISC,0,0,0,0,0,0,0,*,0,0,0,1
Gold Key,4,16,17,18,19,20,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Ruby Key,5,21,22,23,24,25,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Copper Key,6,26,27,28,29,30,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Sapphire Key,7,31,32,33,34,35,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Jade Key,8,36,37,38,39,40,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Iron Key,9,41,42,43,44,45,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Bronze Key,10,46,47,48,49,50,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Steel Key,11,51,52,53,54,55,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Emerald Key,12,56,57,58,59,60,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Gorgon Key,13,61,62,63,64,65,,,,,KEY,0,0,0,0,0,0,0,*,0,0,0,1
Potion of Mana,14,66,67,68,69,70,,,,,CONS,0,0,0,0,0,0,1,drink,0,0,0,1
Potion of Health,15,71,72,73,74,75,,,,,CONS,0,0,0,0,0,0,2,drink,0,0,0,1
Potion of Stamina,16,76,77,78,79,80,,,,,CONS,0,0,0,0,0,0,3,drink,0,0,0,1
Draught of Unfailing Vigour,17,81,82,83,84,85,,,,,CONS,0,0,0,0,0,0,4,drink,0,0,0,1
Draught of Rage,18,86,87,88,89,90,,,,,CONS,0,0,0,0,0,0,5,drink,0,0,0,1
Longsword,19,91,92,93,94,95,,,,,WEPN,0,0,1,25,15,0,0,*,66,0,0,1
Longsword of Might,20,91,92,93,94,95,,,,,WEPN,1,5,1,30,20,0,0,*,66,0,0,1
Shortsword,21,96,97,98,99,100,,,,,WEPN,0,0,3,20,20,0,0,*,55,0,0,1
Shortsword of Precision,22,96,97,98,99,100,,,,,WEPN,2,5,3,25,25,0,0,*,55,0,0,1
Falchion,23,91,92,93,94,95,,,,,WEPN,0,0,2,25,10,0,0,*,66,0,0,1
Dagger,24,101,102,103,104,105,,,,,WEPN,0,0,3,15,5,0,0,*,20,0,0,1
Iklwa,25,106,107,108,109,110,,,,,WEPN,0,0,3,40,5,0,0,*,66,0,0,1
Trident,26,111,112,113,114,115,,,,,MULTIMODE,0,0,3,25,10,0,0,throw,55,0,0,2
Trident of Skarlos,27,111,112,113,114,115,,,,,MULTIMODE,5,10,5,40,15,0,0,throw,67,0,0,2
Mace,28,116,117,118,119,120,,,,,WEPN,0,0,4,20,15,0,0,*,66,0,0,1
Adamantium Mace,29,121,122,123,124,125,,,,,WEPN,1,5,4,35,15,0,0,*,66,0,0,1
Axe,30,126,127,128,129,130,,,,,WEPN,0,0,2,20,20,0,0,*,66,0,0,1
Adamantium Axe,31,131,132,133,134,135,,,,,WEPN,1,5,2,30,20,0,0,*,69,0,0,1
Labrys,32,136,137,138,139,140,,,,,WEPN,0,0,2,50,10,0,0,*,75,0,0,2
Adamantium Labrys,33,141,142,143,144,145,,,,,WEPN,1,10,2,65,15,0,0,*,79,0,0,2
Zweihander,34,146,147,148,149,150,,,,,WEPN,5,2,1,60,40,0,0,*,75,0,0,2
Staff,35,151,152,153,154,155,,,,,WEPN,0,0,4,15,23,0,0,*,25,0,0,2
Wizard's Staff,36,156,157,158,159,160,,,,,WEPN,7,15,4,15,20,0,0,*,0,60,0,2
Chakram,37,161,162,163,164,165,,,,,THROWN,0,0,1,30,0,0,0,throw,0,0,0,1
Chakram of Returning,38,166,167,168,169,170,,,,,THROWN,0,0,1,30,0,0,94,throw,0,0,0,1
Chakram of Dysnomia,39,171,172,173,174,175,,,,,THROWN,0,0,5,45,0,0,95,throw,0,0,0,1
Javelin,40,176,177,178,179,180,,,,,THROWN,0,0,3,30,0,0,0,throw,0,0,0,1
Adamantium Javelin,41,181,182,183,184,185,,,,,THROWN,0,0,3,40,0,0,0,throw,0,0,0,1
Rock,42,186,187,188,189,190,,,,,THROWN,0,0,4,15,0,0,0,throw,0,0,0,1
Raven's Beak,43,191,192,193,194,195,,,,,WEPN,0,0,4,25,15,0,0,*,70,0,0,1
Adamantium Raven's Beak,44,196,197,198,199,200,,,,,WEPN,5,5,4,30,15,0,0,*,70,0,0,1
Vorpal Hammer,45,201,202,203,204,205,,,,,WEPN,11,10,4,40,20,0,0,*,70,0,0,1
Helm,46,205,206,207,208,209,,,,,HEAD,0,0,0,0,10,1,0,*,0,0,0,1
Winged Helm,47,210,211,212,213,214,,,,,HEAD,0,0,0,0,12,1,0,*,0,0,0,1
Helmet of Justice,48,215,216,217,218,219,,,,,HEAD,11,-5,0,0,25,3,0,*,0,0,0,1
Robe *NEEDS INGAME*,49,220,221,222,223,224,,,,,ARMR,9,5,0,0,5,1,0,*,0,52,0,1
Wizard Hat,50,225,226,227,228,229,,,,,HEAD,3,5,0,0,0,0,0,*,0,52,0,1
Kite Shield,51,230,231,232,233,234,,,,,SHLD,0,0,0,0,15,0,0,*,40,0,0,1
