#
#  6502 mnemonics
#
adc	2000
and	2001
asl	2002
bcc	2003
bcs	2004
beq	2005
bne	2006
bmi	2007
bpl	2008
bvc	2009
bvs	2010
bit	2011
brk	2012
clc	2013
cld	2014
cli	2015
clv	2016
cmp	2017
cpx	2018
cpy	2019
dec	2020
dex	2021
dey	2022
eor	2023
inc	2024
inx	2025
iny	2026
jmp	2027
jsr	2028
lda	2029
ldx	2030
ldy	2031
lsr	2032
nop	2033
ora	2034
pha	2035
php	2036
pla	2037
plp	2038
rol	2039
ror	2040
rti	2041
rts	2042
sbc	2043
sec	2044
sed	2045
sei	2046
sta	2047
stx	2048
sty	2049
tax	2050
tay	2051
tsx	2052
txa	2053
txs	2054
tya	2055
